epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,297.694,3.82095,4.34913,3.36526,0.07262,0.23069,0.06477,0.02197,3.02703,4.4856,2.3428,0.000332826,0.000332826,0.000332826
2,583.001,2.43759,2.56315,2.17373,0.28313,0.45001,0.33613,0.14803,2.10954,2.15163,1.71209,0.000665995,0.000665995,0.000665995
3,863.566,1.93351,2.04787,1.79315,0.39391,0.54558,0.47629,0.24825,1.79523,1.85434,1.53513,0.000998507,0.000998507,0.000998507
4,1143.05,1.7089,1.80896,1.60988,0.456,0.63039,0.56716,0.32032,1.61589,1.51385,1.35292,0.000997781,0.000997781,0.000997781
5,1425.8,1.54873,1.63493,1.48607,0.62237,0.59989,0.59522,0.34165,1.48556,1.41667,1.29676,0.000996057,0.000996057,0.000996057
6,1698.42,1.42844,1.52339,1.39999,0.64567,0.7022,0.69085,0.41529,1.34222,1.24268,1.19474,0.000993844,0.000993844,0.000993844
7,2002.04,1.35683,1.42204,1.32876,0.63568,0.65547,0.69374,0.43246,1.30249,1.15932,1.15127,0.000991144,0.000991144,0.000991144
8,2275.17,1.28275,1.34824,1.2802,0.59683,0.70342,0.70096,0.44605,1.26288,1.16236,1.10336,0.000987959,0.000987959,0.000987959
9,2548.08,1.23196,1.28717,1.24271,0.68374,0.72108,0.72692,0.46603,1.22244,1.11118,1.11552,0.000984292,0.000984292,0.000984292
10,2809.26,1.1886,1.22768,1.20286,0.6668,0.75573,0.75462,0.50692,1.19237,1.05951,1.04176,0.000980147,0.000980147,0.000980147
11,3070.31,1.15553,1.18197,1.17947,0.67213,0.77242,0.77447,0.51354,1.16495,1.01307,1.03652,0.000975529,0.000975529,0.000975529
12,3329.93,1.12301,1.14267,1.16041,0.71899,0.75065,0.78583,0.52673,1.14725,0.99226,1.01598,0.000970441,0.000970441,0.000970441
13,3592.57,1.09738,1.11233,1.14569,0.7283,0.74697,0.77721,0.53044,1.11546,0.9568,1.02998,0.000964889,0.000964889,0.000964889
14,3866.18,1.08162,1.08282,1.13041,0.76146,0.75035,0.80654,0.54225,1.11406,0.92296,1.01097,0.000958878,0.000958878,0.000958878
15,4142.11,1.05223,1.05011,1.10899,0.75488,0.76042,0.80474,0.56042,1.08617,0.89064,0.97167,0.000952414,0.000952414,0.000952414
16,4407.22,1.03284,1.01602,1.09186,0.75788,0.76543,0.80401,0.56016,1.07348,0.88467,0.98279,0.000945504,0.000945504,0.000945504
17,4675.97,1.00626,0.99282,1.08106,0.75611,0.77727,0.81154,0.56461,1.0887,0.86089,0.99092,0.000938154,0.000938154,0.000938154
18,4979.94,0.9867,0.96067,1.06808,0.82393,0.74432,0.82925,0.57498,1.06133,0.83865,0.97585,0.000930372,0.000930372,0.000930372
19,5255.43,0.98923,0.95624,1.06875,0.78775,0.8152,0.84604,0.59268,1.0401,0.82613,0.98003,0.000922165,0.000922165,0.000922165
20,5525.23,0.97846,0.93272,1.05916,0.81972,0.79421,0.85416,0.60739,1.02779,0.81421,0.9643,0.000913541,0.000913541,0.000913541
21,5795.42,0.94075,0.89485,1.04386,0.81829,0.79531,0.84593,0.60206,1.01012,0.81025,0.95491,0.000904509,0.000904509,0.000904509
22,6070.26,0.93972,0.89428,1.03013,0.84067,0.78009,0.86402,0.61591,1.01151,0.78802,0.94967,0.000895079,0.000895079,0.000895079
23,6345.78,0.9272,0.8708,1.03215,0.82491,0.78484,0.85478,0.61516,1.00114,0.7788,0.947,0.000885258,0.000885258,0.000885258
24,6612.12,0.91752,0.86147,1.02501,0.81055,0.81772,0.86342,0.61834,0.98603,0.75445,0.92769,0.000875057,0.000875057,0.000875057
25,6881.27,0.90398,0.83921,1.01816,0.86648,0.78025,0.8785,0.63125,0.97787,0.75055,0.93518,0.000864486,0.000864486,0.000864486
26,7139.45,0.89023,0.82738,1.01735,0.82065,0.83855,0.87196,0.62206,0.97555,0.73198,0.9428,0.000853555,0.000853555,0.000853555
27,7397.56,0.88625,0.81762,1.00978,0.83285,0.83637,0.88634,0.63511,0.9655,0.72605,0.91688,0.000842275,0.000842275,0.000842275
28,7656.09,0.87914,0.80262,1.00762,0.8412,0.83538,0.88322,0.64364,0.96099,0.72483,0.92586,0.000830658,0.000830658,0.000830658
