epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,58.3762,4.15468,4.59775,3.73796,0.39468,0.08338,0.05654,0.01288,3.59724,8.08902,3.08097,0.00332826,0.00332826,0.00332826
2,112.135,2.53027,2.71262,2.3263,0.40164,0.46714,0.38998,0.17187,2.1193,1.88854,1.82442,0.00666118,0.00666118,0.00666118
3,164.604,1.8612,2.03055,1.76917,0.40406,0.54853,0.43625,0.22515,1.72316,1.84078,1.4693,0.00999246,0.00999246,0.00999246
4,216.874,1.54853,1.6589,1.48518,0.57158,0.57362,0.56241,0.31297,1.62243,1.66538,1.34435,0.00999445,0.00999445,0.00999445
5,269.093,1.33975,1.39816,1.31544,0.61455,0.73167,0.69496,0.42344,1.31005,1.16563,1.15008,0.00999013,0.00999013,0.00999013
6,321.205,1.19617,1.22166,1.21296,0.80281,0.7343,0.79058,0.50752,1.19588,0.99882,1.08353,0.00998459,0.00998459,0.00998459
7,373.546,1.10996,1.10998,1.15045,0.7879,0.75021,0.80861,0.55114,1.10286,0.92119,1.01959,0.00997781,0.00997781,0.00997781
8,425.861,1.03978,1.02098,1.10952,0.79822,0.77794,0.83218,0.54882,1.09818,0.89532,0.98522,0.00996981,0.00996981,0.00996981
9,478.197,0.99418,0.94878,1.08016,0.82018,0.78216,0.85555,0.58846,1.05234,0.8308,0.94909,0.00996057,0.00996057,0.00996057
10,530.428,0.94684,0.88483,1.0538,0.85014,0.78342,0.86355,0.61577,1.01698,0.7998,0.94172,0.00995012,0.00995012,0.00995012
11,582.713,0.91323,0.84501,1.03458,0.83763,0.82744,0.87981,0.62374,0.98999,0.73212,0.93283,0.00993844,0.00993844,0.00993844
12,634.897,0.88517,0.80079,1.0237,0.7718,0.83382,0.87289,0.619,1.00655,0.73604,0.92939,0.00992555,0.00992555,0.00992555
13,686.715,0.86125,0.77167,1.00734,0.81102,0.83295,0.88618,0.64958,0.95478,0.70992,0.91434,0.00991144,0.00991144,0.00991144
14,739,0.83537,0.73196,0.99745,0.86477,0.85138,0.89828,0.6574,0.94328,0.69896,0.91218,0.00989612,0.00989612,0.00989612
15,791.184,0.82027,0.71743,0.98887,0.88033,0.83612,0.90719,0.66574,0.90906,0.66434,0.89059,0.00987959,0.00987959,0.00987959
16,843.538,0.80247,0.69362,0.98096,0.88302,0.85731,0.90611,0.67563,0.88248,0.6585,0.89071,0.00986185,0.00986185,0.00986185
17,895.856,0.79372,0.6761,0.97074,0.85978,0.85691,0.91122,0.68175,0.88047,0.63043,0.88932,0.00984292,0.00984292,0.00984292
18,948.105,0.77595,0.65587,0.96583,0.84014,0.86253,0.89768,0.6785,0.87338,0.62119,0.88007,0.00982279,0.00982279,0.00982279
19,1000.12,0.76556,0.64025,0.95674,0.87329,0.86509,0.91462,0.6891,0.86087,0.61358,0.86913,0.00980147,0.00980147,0.00980147
20,1052.36,0.74841,0.62321,0.95152,0.89051,0.86255,0.91147,0.68527,0.86473,0.6244,0.87242,0.00977897,0.00977897,0.00977897
21,1104.36,0.74623,0.60997,0.94741,0.87834,0.83307,0.90367,0.69474,0.86037,0.60684,0.87849,0.00975529,0.00975529,0.00975529
22,1156.68,0.7337,0.59021,0.93721,0.90563,0.8664,0.91503,0.70105,0.84312,0.5926,0.86913,0.00973043,0.00973043,0.00973043
23,1208.96,0.71525,0.58135,0.93523,0.87291,0.84376,0.90724,0.69205,0.83994,0.58501,0.85966,0.00970441,0.00970441,0.00970441
24,1260.9,0.71247,0.58161,0.93309,0.88769,0.8799,0.9167,0.7045,0.83566,0.57595,0.86161,0.00967722,0.00967722,0.00967722
25,1313.2,0.70385,0.56578,0.92775,0.87742,0.87429,0.9198,0.71196,0.82676,0.5637,0.85625,0.00964889,0.00964889,0.00964889
26,1365.83,0.69877,0.54638,0.92586,0.90551,0.8449,0.90822,0.70617,0.82555,0.56879,0.8564,0.0096194,0.0096194,0.0096194
27,1418.17,0.68984,0.54222,0.92025,0.91126,0.86125,0.91913,0.71454,0.82463,0.5563,0.85567,0.00958878,0.00958878,0.00958878
28,1470.8,0.68178,0.52684,0.91667,0.84804,0.89712,0.91729,0.71815,0.83927,0.55795,0.85384,0.00955702,0.00955702,0.00955702
