epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,73.3364,4.81608,5.74544,4.51021,3e-05,0.00275,2e-05,0,5.23376,9.26517,4.32716,0.00332826,0.00332826,0.00332826
2,138.738,3.94388,4.65072,3.43229,0.14506,0.20588,0.10919,0.03771,2.94651,2.86464,2.25722,0.00666086,0.00666086,0.00666086
3,201.019,2.45095,2.70155,2.15542,0.27561,0.40746,0.31575,0.14263,2.09911,2.12828,1.74793,0.00999054,0.00999054,0.00999054
4,262.543,1.89803,2.1264,1.76347,0.37697,0.47565,0.40651,0.20114,1.86501,1.84764,1.53648,0.00999013,0.00999013,0.00999013
5,325.329,1.65508,1.83041,1.56375,0.44396,0.64164,0.55546,0.29399,1.57922,1.52852,1.31027,0.00998246,0.00998246,0.00998246
6,386.813,1.49706,1.64234,1.44629,0.56367,0.64718,0.62716,0.36378,1.43035,1.33345,1.24102,0.00997261,0.00997261,0.00997261
7,448.254,1.40332,1.51695,1.35752,0.60862,0.68203,0.645,0.39047,1.3373,1.27211,1.17893,0.00996057,0.00996057,0.00996057
8,509.654,1.32006,1.42769,1.30104,0.63434,0.71389,0.69434,0.41413,1.28982,1.13861,1.13847,0.00994636,0.00994636,0.00994636
9,571.017,1.26023,1.34272,1.256,0.665,0.72511,0.72993,0.47292,1.22623,1.15284,1.08312,0.00992998,0.00992998,0.00992998
10,632.506,1.20849,1.28211,1.22079,0.71129,0.73025,0.75211,0.49832,1.17434,1.06368,1.03149,0.00991144,0.00991144,0.00991144
11,693.771,1.16443,1.2253,1.19286,0.65382,0.78586,0.76803,0.50944,1.17091,1.03805,1.0436,0.00989074,0.00989074,0.00989074
12,755.372,1.14185,1.18277,1.18173,0.74855,0.71894,0.78664,0.52886,1.12255,0.98857,1.01562,0.0098679,0.0098679,0.0098679
13,816.823,1.10145,1.13919,1.151,0.70312,0.78151,0.78397,0.53692,1.09413,0.95908,0.99104,0.00984292,0.00984292,0.00984292
14,906.221,1.06797,1.09399,1.13672,0.75626,0.77407,0.806,0.55973,1.06674,0.95273,0.98491,0.00981581,0.00981581,0.00981581
15,968.79,1.04862,1.07311,1.12421,0.78004,0.79539,0.82843,0.56582,1.04378,0.87995,0.96754,0.0097866,0.0097866,0.0097866
16,1030.35,1.02839,1.0426,1.11446,0.76414,0.7745,0.82725,0.57547,1.04397,0.876,0.97837,0.00975529,0.00975529,0.00975529
17,1091.7,1.01786,1.02275,1.09914,0.77042,0.79,0.83173,0.58843,1.00636,0.84152,0.96156,0.00972188,0.00972188,0.00972188
18,1153.03,0.99079,0.98824,1.08514,0.82281,0.82678,0.86439,0.61244,0.99908,0.81352,0.93813,0.00968641,0.00968641,0.00968641
19,1214.23,0.98293,0.96166,1.07602,0.76561,0.80638,0.8318,0.59034,1.01283,0.84925,0.94117,0.00964889,0.00964889,0.00964889
20,1275.62,0.96318,0.95195,1.07113,0.82113,0.77864,0.85114,0.61665,0.9789,0.7916,0.93155,0.00960932,0.00960932,0.00960932
21,1336.9,0.95454,0.92675,1.06081,0.79728,0.82795,0.86636,0.61542,0.98719,0.79546,0.93721,0.00956773,0.00956773,0.00956773
22,1398.22,0.9376,0.89872,1.04932,0.80331,0.84724,0.87946,0.63477,0.96502,0.74392,0.92729,0.00952414,0.00952414,0.00952414
23,1459.81,0.92521,0.89439,1.05044,0.79432,0.83937,0.86457,0.62161,0.9685,0.75796,0.92934,0.00947856,0.00947856,0.00947856
24,1520.99,0.91946,0.88808,1.04458,0.84829,0.82347,0.87646,0.62487,0.96618,0.75212,0.92192,0.00943102,0.00943102,0.00943102
25,1582.87,0.90789,0.85965,1.03473,0.87531,0.80978,0.88097,0.64093,0.97802,0.74194,0.91248,0.00938154,0.00938154,0.00938154
26,1644.22,0.8969,0.83886,1.02859,0.86217,0.81518,0.88457,0.63564,0.95369,0.75081,0.90544,0.00933013,0.00933013,0.00933013
27,1705.83,0.88303,0.832,1.0204,0.87412,0.84784,0.89858,0.66064,0.93332,0.73646,0.90273,0.00927683,0.00927683,0.00927683
28,1767.19,0.87055,0.79576,1.01216,0.80656,0.85852,0.88777,0.65341,0.9307,0.69414,0.90128,0.00922165,0.00922165,0.00922165
29,1828.71,0.87889,0.80743,1.01697,0.83699,0.86524,0.90063,0.66621,0.90904,0.67498,0.89916,0.00916461,0.00916461,0.00916461
30,1890.51,0.85574,0.78203,1.00269,0.83182,0.8827,0.90588,0.66579,0.9205,0.67366,0.89172,0.00910575,0.00910575,0.00910575
31,1951.87,0.85414,0.77985,1.00485,0.86753,0.85217,0.90908,0.67445,0.90528,0.65762,0.87672,0.00904509,0.00904509,0.00904509
32,2013.35,0.84772,0.77415,1.00034,0.88599,0.83648,0.90338,0.66962,0.91509,0.67083,0.89704,0.00898266,0.00898266,0.00898266
33,2074.7,0.83584,0.76371,0.99107,0.86095,0.86268,0.91457,0.67884,0.91187,0.64888,0.88448,0.00891848,0.00891848,0.00891848
34,2136.3,0.83127,0.74508,0.99519,0.88065,0.84975,0.91177,0.67526,0.89895,0.6555,0.88003,0.00885258,0.00885258,0.00885258
35,2197.82,0.82344,0.74738,0.99128,0.88222,0.87279,0.91781,0.68536,0.89149,0.63691,0.87571,0.00878499,0.00878499,0.00878499
36,2259.34,0.82244,0.72452,0.98819,0.85062,0.88621,0.92324,0.69212,0.89489,0.62168,0.86952,0.00871574,0.00871574,0.00871574
37,2320.59,0.81678,0.7198,0.97945,0.84703,0.86378,0.91218,0.67078,0.8991,0.64804,0.885,0.00864486,0.00864486,0.00864486
38,2381.97,0.80015,0.70788,0.98201,0.91557,0.83758,0.91984,0.694,0.87309,0.6398,0.87198,0.00857238,0.00857238,0.00857238
39,2443.53,0.80034,0.69846,0.97619,0.85052,0.86987,0.91783,0.69241,0.86401,0.63073,0.86401,0.00849833,0.00849833,0.00849833
40,2505.06,0.79419,0.6949,0.97235,0.87596,0.85406,0.91463,0.68199,0.87818,0.63084,0.87897,0.00842275,0.00842275,0.00842275
41,2566.48,0.79201,0.69114,0.97041,0.9047,0.84937,0.91656,0.69542,0.85288,0.613,0.8656,0.00834567,0.00834567,0.00834567
42,2627.68,0.7959,0.68569,0.97073,0.91875,0.86446,0.93345,0.70477,0.85398,0.58726,0.86495,0.00826712,0.00826712,0.00826712
43,2689.13,0.77562,0.67366,0.96599,0.8683,0.89796,0.91867,0.69222,0.86069,0.60298,0.86958,0.00818714,0.00818714,0.00818714
44,2750.39,0.77409,0.66259,0.96289,0.88358,0.85407,0.91775,0.69536,0.86193,0.60881,0.8652,0.00810576,0.00810576,0.00810576
